id,label,split,readability_ari,extremity,subjectivity,experiential_detail,positive_affect,negative_affect,uncertainty,category_specificity,internal_consistency,word_count,adjective_ratio,verb_ratio,superlative_ratio,first_person_pronoun_ratio,third_person_pronoun_ratio
0,0,train,4.665555555555557,0,0.25,0.0,0.0,0.25,0.0,0.75,1.0,54,0.05555555555555555,0.18518518518518517,0.0,0.09259259259259259,0.1111111111111111
1,0,train,3.515000000000001,1,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.75,30,0.16666666666666666,0.23333333333333334,0.0,0.1,0.0
2,1,train,7.300000000000001,1,0.5,0.25,0.5,0.0,0.0,0.5,1.0,54,0.07407407407407407,0.25925925925925924,0.0,0.09259259259259259,0.018518518518518517
3,0,train,4.17625,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,1.0,40,0.05,0.2,0.0,0.05,0.075
4,0,train,3.611363636363638,1,0.5,0.16666666666666666,0.3333333333333333,0.0,0.0,0.5,1.0,154,0.045454545454545456,0.22727272727272727,0.006493506493506494,0.07142857142857142,0.045454545454545456
5,1,train,8.520621468926556,0,0.6666666666666666,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.0,0.3333333333333333,1.0,118,0.11864406779661017,0.1864406779661017,0.0,0.0423728813559322,0.06779661016949153
6,1,train,6.939727272727275,0,0.25,0.625,0.0,0.125,0.0,0.75,1.0,110,0.10909090909090909,0.22727272727272727,0.0,0.02727272727272727,0.045454545454545456
7,0,train,3.1463793103448303,1,0.5,0.25,0.25,0.25,0.0,0.5,0.75,29,0.13793103448275862,0.20689655172413793,0.0,0.0,0.034482758620689655
8,0,train,4.519626865671643,1,0.5,0.25,0.25,0.0,0.0,0.5,0.75,67,0.05970149253731343,0.208955223880597,0.0,0.08955223880597014,0.07462686567164178
9,1,train,5.419285714285714,1,1.0,0.5,0.5,0.0,0.0,0.5,0.75,28,0.25,0.17857142857142858,0.0,0.0,0.03571428571428571
10,0,train,6.061333333333334,0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.75,45,0.08888888888888889,0.17777777777777778,0.022222222222222223,0.022222222222222223,0.022222222222222223
11,0,train,5.9598648648648656,1,0.4,0.2,0.2,0.0,0.0,0.6,0.75,148,0.033783783783783786,0.25,0.006756756756756757,0.08783783783783784,0.02027027027027027
12,0,train,3.728743169398903,1,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.75,61,0.04918032786885246,0.22950819672131148,0.0,0.03278688524590164,0.01639344262295082
13,0,train,1.880319634703195,1,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,0.5,73,0.0410958904109589,0.2465753424657534,0.0,0.1095890410958904,0.0
14,0,train,2.255714285714287,1,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.75,14,0.14285714285714285,0.0,0.0,0.07142857142857142,0.0
15,1,train,8.157727272727271,1,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5,1.0,66,0.15151515151515152,0.16666666666666666,0.0,0.030303030303030304,0.015151515151515152
16,0,train,-0.0824193548387093,1,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.75,31,0.06451612903225806,0.25806451612903225,0.03225806451612903,0.0,0.03225806451612903
17,0,train,0.1727500000000006,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,1.0,40,0.05,0.15,0.0,0.125,0.0
18,0,train,6.156307692307692,1,0.6,0.2,0.6,0.0,0.0,0.4,1.0,65,0.06153846153846154,0.15384615384615385,0.0,0.09230769230769231,0.06153846153846154
19,0,train,2.036249999999999,1,0.0,0.0,0.0,0.0,0.0,1.0,0.75,24,0.0,0.2916666666666667,0.0,0.0,0.041666666666666664
20,1,train,11.117441860465114,1,1.0,1.0,1.0,0.0,0.0,0.5,1.0,43,0.11627906976744186,0.16279069767441862,0.0,0.11627906976744186,0.0
21,0,train,4.578214285714285,1,0.0,0.0,0.0,0.0,0.0,1.0,0.5,28,0.10714285714285714,0.25,0.0,0.0,0.07142857142857142
22,1,train,5.2307017543859615,0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.75,38,0.13157894736842105,0.18421052631578946,0.0,0.02631578947368421,0.02631578947368421
23,0,train,7.606249999999999,1,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.5,0.75,120,0.10833333333333334,0.225,0.0,0.09166666666666666,0.075
24,0,train,4.115175438596488,1,0.6666666666666666,0.16666666666666666,0.5,0.0,0.0,0.5,1.0,76,0.13157894736842105,0.18421052631578946,0.013157894736842105,0.013157894736842105,0.06578947368421052
25,1,train,6.1690000000000005,1,0.5,0.25,0.5,0.0,0.25,0.5,0.75,55,0.16363636363636364,0.18181818181818182,0.0,0.07272727272727272,0.03636363636363636
26,1,train,4.507457627118647,1,0.4,0.2,0.4,0.0,0.0,0.6,1.0,59,0.1016949152542373,0.2033898305084746,0.0,0.05084745762711865,0.05084745762711865
27,1,train,7.755294117647058,1,1.0,0.0,1.0,0.0,0.0,0.0,0.75,17,0.11764705882352941,0.17647058823529413,0.0,0.058823529411764705,0.0
